Datum Zeit; Schwartenberg TEMP; Schwartenberg FEUCHT; Schwartenberg STRAHL; Schwartenberg DRUCK; Schwartenberg BEN; Schwartenberg NO; Schwartenberg NO2; Schwartenberg O3; Schwartenberg PM10_TEOM; Schwartenberg SO2
; GRADC; PROZ; W/m2; hPa; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
06.11.2022 13:00;4,8;93,8;418;1016;0,7;1;4;49;11;1,8
06.11.2022 12:00;4,8;92,9;423;1017;0,9;2;5;47;12;3,2
06.11.2022 11:00;4,3;94;374;1018;0,7;2;5;47;8;4
06.11.2022 10:00;3,2;99;282;1018;0,5;1;5;47;9;2,3
06.11.2022 09:00;2,2;100;164;1018;0,6;1;5;46;7;1,7
06.11.2022 08:00;1,5; NaN;16;1018;1,1;1;6;46; NaN;2
06.11.2022 07:00;1,3; NaN;0;1018;0,6;1;5;44; NaN;7,4
06.11.2022 06:00;2,7;92;0;1018;0,2;1;2;57;4;1,9
06.11.2022 05:00;3,6;87,1;0;1018;0,2;1;2;60;6;0,5
06.11.2022 04:00;3,2;93,8;0;1019;0,2;1;2;58;6;0,5
06.11.2022 03:00;3,4;93,5;0;1019;0,2;1;1;59;6;0,5
06.11.2022 02:00;3,5;95,4;0;1019;0,2;1;2;58;6;0,5
06.11.2022 01:00;3,7;95,4;0;1019;0,2;1;2;58;5;0,5
06.11.2022 00:00;3,8;96,2;0;1019;0,2;1;2;58;2;0,5
05.11.2022 23:00;3,9;97,2;0;1019;0,3;1;2;59;7;0,5
05.11.2022 22:00;3,9;98,4;0;1019;0,2;1;3;58;7;0,5
05.11.2022 21:00;4,1;99,5;0;1019; NaN;1;3;56;8;0,5
05.11.2022 20:00;4,2;100;0;1019; NaN;1;3;56;9;0,5
05.11.2022 19:00;4,4; NaN;0;1018; NaN;1;3;57; NaN;0,5
05.11.2022 18:00;4,2; NaN;0;1018; NaN;1;4;58; NaN;0,5
05.11.2022 17:00;4,3;100;6;1017; NaN;1;3;61;17;1,1
05.11.2022 16:00;4,7;96,2;53;1017;0,2;1;2;65;14;1
05.11.2022 15:00;5,9;97,6;168;1017;0,2;1;3;60;10;1,3
05.11.2022 14:00;5,5; NaN;255;1016;0,2;1;4;56; NaN;1,4
05.11.2022 13:00;5; NaN;233;1016;0,2;1;3;60; NaN;1,1
05.11.2022 12:00;4,4; NaN;245;1016;0,2;1;2;60; NaN;0,5
05.11.2022 11:00;4,1; NaN;128;1015;0,2;1;3;58; NaN;0,5
05.11.2022 10:00;4,1; NaN;89;1015;0,3;1;4;53; NaN;0,5
05.11.2022 09:00;4,1; NaN;45;1014;0,3;1;4;47; NaN;0,5
05.11.2022 08:00;4; NaN;3;1013;0,3;1;4;46; NaN;0,5
05.11.2022 07:00;4,1; NaN;0;1012;0,3;1;5;43; NaN;0,5
05.11.2022 06:00;4,1; NaN;0;1011;0,4;1;6;41; NaN;0,5
05.11.2022 05:00;4,1; NaN;0;1011;0,3;1;6;41; NaN;1,4
05.11.2022 04:00;4,2; NaN;0;1010;0,3;1;6;46; NaN;1,1
05.11.2022 03:00;4,2; NaN;0;1010;0,3;1;5;50; NaN;1
05.11.2022 02:00;4,2; NaN;0;1009;0,3;1;5;52; NaN;0,5
05.11.2022 01:00;4,2; NaN;0;1009;0,3;1;5;52; NaN;0,5
05.11.2022 00:00;4,3; NaN;0;1008;0,4;1;6;49; NaN;0,5
04.11.2022 23:00;4,4; NaN;0;1008;0,3;1;6;46; NaN;0,5
04.11.2022 22:00;4,2; NaN;0;1008;0,2;1;5;54; NaN;0,5
04.11.2022 21:00;4,1; NaN;0;1007;0,3;1;5;56; NaN;0,5
04.11.2022 20:00;3,9; NaN;0;1006;0,3;1;4;57; NaN;0,5
04.11.2022 19:00;4; NaN;0;1006;0,3;1;5;57; NaN;0,5
04.11.2022 18:00;4,2; NaN;0;1006;0,3;1;6;55; NaN;1,1
04.11.2022 17:00;4,4; NaN;1;1005;0,2;1;6;56; NaN;0,5
04.11.2022 16:00;4,6; NaN;6;1005;0,2;1;5;58; NaN;1
04.11.2022 15:00;4,8; NaN;20;1004;0,2;1;5;57; NaN;1,2
04.11.2022 14:00;4,9; NaN;35;1004;0,2;1;5;60; NaN;1,3
04.11.2022 13:00;5,2;100;33;1005;0,2;1;6;58;4;1,5
04.11.2022 12:00;5,7;100;14;1005;0,4;1;5;56;4;1,2
04.11.2022 11:00;6,6;100;17;1004;0,4;1;6;44;2;0,5
04.11.2022 10:00;6,5;100;24;1004;0,4;1;6;44; NaN;0,5
04.11.2022 09:00;6,6;100;17;1005;0,4;1;6;42;9;0,5
04.11.2022 08:00;6,6;100;6;1004;0,5;1;7;39;13;0,5
04.11.2022 07:00;6,7;100;0;1005;0,8;1;8;35;13;1,5
04.11.2022 06:00;6,4;100;0;1004;0,9;1;11;24;12;2,4
04.11.2022 05:00;6,4;100;0;1004;0,7;1;13;23;9;3,2
04.11.2022 04:00;6,5;100;0;1003;0,6;1;8;31;7;1,8
04.11.2022 03:00;6,2;100;0;1003;0,7;1;9;34;15;2,3
04.11.2022 02:00;6,2;100;0;1004;0,7;1;10;34;18;2
04.11.2022 01:00;6,2;100;0;1004;0,7;1;11;35;17;3,4
04.11.2022 00:00;6,2;100;0;1005;0,7;1;12;33;19;2,8
03.11.2022 23:00;6,1;100;0;1006;0,6;1;20;23;22;5
03.11.2022 22:00;6,2;100;0;1006;0,7;1;19;25;21;5,7
03.11.2022 21:00;6,5;100;0;1007;1;1;22;25;20;8,4
03.11.2022 20:00;6,4;100;0;1008;1,3;1;24;25;17;9
03.11.2022 19:00;6;100;0;1009;1;1;28;22;15;11,8
03.11.2022 18:00;5,4;100;0;1010;0,8;1;24;26;17;10,8
03.11.2022 17:00;4,8;100;7;1010;1;1;19;34;18;8
03.11.2022 16:00;5,5;94,5;86;1011;0,9;2;16;43;16;10,5
03.11.2022 15:00;6,5;87,6;203;1012;0,8;4;12;51;16;9,7
03.11.2022 14:00;6,9;83,2;262;1014;0,8;2;8;59;14;4,5
03.11.2022 13:00;7,1;81,4;371;1014;0,5;2;7;58;10;3,3
03.11.2022 12:00;6,9;81,4;402;1016;0,4;2;7;58;8;4,6
03.11.2022 11:00;6,2;84,9;319;1017;0,4;4;14;51;7;8,5
03.11.2022 10:00;5,3;93,3;270;1017;0,5;6;18;43;4;12,3
03.11.2022 09:00;4,5;98,4;182;1018;1,1;3;14;45;10;8,3
03.11.2022 08:00;3,5;100;43;1018;0,7;1;12;43;9;6,8
03.11.2022 07:00;3,1;100;0;1019;0,9;1;6;47;8;5,5
03.11.2022 06:00;3,9;96,3;0;1019;0,5;1;11;45;7;7,6
03.11.2022 05:00;4,6;92;0;1020;0,4;1;3;56;8;2,7
03.11.2022 04:00;4,4;95;0;1021;1,4;1;5;52;9;5,3
03.11.2022 03:00;3,6;95,8;0;1021;0,4;1;7;46;9;9,4
03.11.2022 02:00;5;86,4;0;1022;0,2;1;2;60;9;0,5
03.11.2022 01:00;6,3;81,5;0;1022;0,2;1;2;64;11;0,5
03.11.2022 00:00;6,1;81,6;0;1023;0,2;1;2;63;6;0,5
02.11.2022 23:00;6,1;81,4;0;1023;0,2;1;3;61;8;0,5
02.11.2022 22:00;6,3;80,8;0;1023;0,2;1;3;61;7;0,5
02.11.2022 21:00;6,5;79,9;0;1023;0,2;1;3;61;6;0,5
02.11.2022 20:00;6,8;79,1;0;1023;0,2;1;3;61;8;0,5
02.11.2022 19:00;7,2;76,6;0;1023;0,3;1;4;61;13;0,5
02.11.2022 18:00;7,7;73,5;0;1022;0,2;1;4;62;8;0,5
02.11.2022 17:00;8,8;69,1;17;1022;0,2;1;4;62;4;0,5
02.11.2022 16:00;9,9;66,9;148;1022;0,2;1;3;63;7;0,5
02.11.2022 15:00;9,5;69,3;193;1022;0,2;1;2;67;6;0,5
02.11.2022 14:00;9,4;75,6;224;1022;0,1;1;2;68;7;0,5
02.11.2022 13:00;9,6;76,2;228;1022;0,1;1;2;72;6;0,5
02.11.2022 12:00;9,5;79,1;322;1021;0,1;1;1;71;5;0,5
02.11.2022 11:00;9,5;78,3;342;1021;0,1;1;2;71;10;0,5
02.11.2022 10:00;8,9;79,7;295;1021;0,2;1;1;68;9;0,5
02.11.2022 09:00;7,8;82,4;135;1021;0,2;1;1;67;7;0,5
02.11.2022 08:00;7,1;84,2;73;1021;0,1;1;1;68;7;0,5
02.11.2022 07:00;6,8;85,1;0;1021;0,1;1;1;68;2;0,5
02.11.2022 06:00;7,3;84,5;0;1020;0,1;1;1;69;2;0,5
02.11.2022 05:00;7,8;85,7;0;1020;0,1;1;1;68;5;0,5
02.11.2022 04:00;8,3;83,1;0;1020;0,1;1;1;71;2;0,5
02.11.2022 03:00;8,5;81,7;0;1021;0,1;1;1;71;2;0,5
02.11.2022 02:00;8,8;78,7;0;1020;0,1;1;1;72;4;0,5
02.11.2022 01:00;8,9;78,3;0;1020; NaN;1;1;71;12;0,5
02.11.2022 00:00;9;82,4;0;1020; NaN;1;1;68;16;0,5
01.11.2022 23:00;9,3;85,5;0;1021; NaN;1;2;66;2;0,5
01.11.2022 22:00;9,9;82,5;0;1021; NaN;1;2;65;7;0,5
01.11.2022 21:00;10,7;84,5;0;1021; NaN;1;3;58;5;0,5
01.11.2022 20:00;11,3;85,2;0;1020;0,3;1;3;59;6;0,5
01.11.2022 19:00;11,7;83,1;0;1020;0,3;1;4;59;9;0,5
01.11.2022 18:00;12,1;80,5;0;1020;0,2;1;3;63;5;0,5
01.11.2022 17:00;12,4;78,4;8;1020;0,2;1;4;66;7;0,5
