Datum Zeit; Schwartenberg TEMP
; GRADC
04-11-22; 5,4
03-11-22; 5,5
02-11-22; 8,0
01-11-22; 11,8
31-10-22; 14,9
30-10-22; 20,1
29-10-22; 17,3
28-10-22; 16,3
27-10-22; 12,9
26-10-22; 10,9
25-10-22; 10,5
24-10-22; 12,4
23-10-22; 10,6
22-10-22; 11,3
21-10-22; 5,6
20-10-22; 4,7
19-10-22; 6,1
18-10-22; 12,8
17-10-22; 13,4
16-10-22; 14,7
15-10-22; 11,4
14-10-22; 10,2
13-10-22; 9,5
12-10-22; 8,2
11-10-22; 8,0
10-10-22; 8,1
09-10-22; 7,5
08-10-22; 10,0
07-10-22; 10,8
06-10-22; 11,2
05-10-22; 11,7
04-10-22; 9,3
03-10-22; 7,1
02-10-22; 8,2
01-10-22; 7,3
30-09-22; 8,6
29-09-22; 6,1
28-09-22; 4,3
27-09-22; 6,1
26-09-22; 8,9
25-09-22; 11,0
24-09-22; 9,9
23-09-22; 8,2
22-09-22; 7,6
21-09-22; 6,5
20-09-22; 5,5
19-09-22; 5,3
18-09-22; 4,6
17-09-22; 5,8
16-09-22; 8,1
15-09-22; 10,3
14-09-22; 14,6
13-09-22; 15,2
12-09-22; 12,5
11-09-22; 11,1
10-09-22; 12,9
09-09-22; 14,7
08-09-22; 15,0
07-09-22; 16,1
06-09-22; 15,4
05-09-22; 16,6
04-09-22; 16,9
03-09-22; 13,5
02-09-22; 12,4
01-09-22; 13,8
31-08-22; 14,2
30-08-22; 15,8
29-08-22; 13,6
28-08-22; 13,5
27-08-22; 16,1
26-08-22; 19,0
25-08-22; 20,4
24-08-22; 17,7
23-08-22; 13,8
22-08-22; 13,8
21-08-22; 14,4
20-08-22; 14,1
19-08-22; 16,2
18-08-22; 21,4
17-08-22; 24,1
16-08-22; 21,1
15-08-22; 19,5
14-08-22; 20,3
13-08-22; 17,7
12-08-22; 18,4
11-08-22; 19,3
10-08-22; 18,9
09-08-22; 18,6
08-08-22; 17,4
07-08-22; 16,1
06-08-22; 12,8
05-08-22; 22,5

Datum Zeit; Schwartenberg FEUCHT
; PROZ
04-11-22; NaN
03-11-22; 93,8
02-11-22; 78,8
01-11-22; 81,8
31-10-22; 59,3
30-10-22; 38,7
29-10-22; 60,1
28-10-22; 65,3
27-10-22; 89,9
26-10-22; 87,6
25-10-22; 88,3
24-10-22; 86,0
23-10-22; 92,8
22-10-22; 94,7
21-10-22; 99,7
20-10-22; 94,1
19-10-22; 93,1
18-10-22; 96,0
17-10-22; 94,1
16-10-22; 89,8
15-10-22; 97,0
14-10-22; 93,1
13-10-22; 90,4
12-10-22; 79,3
11-10-22; 83,6
10-10-22; 86,9
09-10-22; 83,9
08-10-22; 90,2
07-10-22; 85,7
06-10-22; 81,7
05-10-22; 73,9
04-10-22; 86,9
03-10-22; 99,0
02-10-22; 97,0
01-10-22; 94,9
30-09-22; 77,8
29-09-22; 89,7
28-09-22; 98,9
27-09-22; 96,8
26-09-22; 85,8
25-09-22; 82,1
24-09-22; 77,3
23-09-22; 79,9
22-09-22; 82,2
21-09-22; 95,1
20-09-22; 98,2
19-09-22; 100,0
18-09-22; 99,3
17-09-22; 97,4
16-09-22; 94,1
15-09-22; 97,9
14-09-22; 95,1
13-09-22; 76,1
12-09-22; 85,7
11-09-22; 99,4
10-09-22; 85,6
09-09-22; 73,1
08-09-22; 94,2
07-09-22; 89,4
06-09-22; 87,4
05-09-22; 83,7
04-09-22; 67,9
03-09-22; 65,7
02-09-22; 66,9
01-09-22; 67,7
31-08-22; 82,1
30-08-22; 76,1
29-08-22; 81,2
28-08-22; 95,1
27-08-22; 100,0
26-08-22; 89,7
25-08-22; 81,9
24-08-22; 90,3
23-08-22; 97,7
22-08-22; 81,6
21-08-22; 87,8
20-08-22; 100,0
19-08-22; 100,0
18-08-22; 63,7
17-08-22; 43,9
16-08-22; 58,8
15-08-22; 75,1
14-08-22; 70,9
13-08-22; 77,6
12-08-22; 51,5
11-08-22; 45,8
10-08-22; 49,0
09-08-22; 46,0
08-08-22; 47,4
07-08-22; 48,4
06-08-22; 71,5
05-08-22; 57,1

Datum Zeit; Schwartenberg STRAHL
; W/m2
04-11-22; 7
03-11-22; 89
02-11-22; 82
01-11-22; 40
31-10-22; 103
30-10-22; 78
29-10-22; 90
28-10-22; 75
27-10-22; 121
26-10-22; 75
25-10-22; 69
24-10-22; 29
23-10-22; 94
22-10-22; 83
21-10-22; 41
20-10-22; 131
19-10-22; 58
18-10-22; 36
17-10-22; 127
16-10-22; 74
15-10-22; 51
14-10-22; 39
13-10-22; 94
12-10-22; 143
11-10-22; 139
10-10-22; 137
09-10-22; 169
08-10-22; 70
07-10-22; 142
06-10-22; 95
05-10-22; 138
04-10-22; 115
03-10-22; 58
02-10-22; 78
01-10-22; 43
30-09-22; 145
29-09-22; 108
28-09-22; 55
27-09-22; 67
26-09-22; 126
25-09-22; 66
24-09-22; 156
23-09-22; 131
22-09-22; 184
21-09-22; 103
20-09-22; 92
19-09-22; 51
18-09-22; 79
17-09-22; 86
16-09-22; 122
15-09-22; 61
14-09-22; 26
13-09-22; 148
12-09-22; 152
11-09-22; 60
10-09-22; 145
09-09-22; 129
08-09-22; 67
07-09-22; 135
06-09-22; 126
05-09-22; 216
04-09-22; 151
03-09-22; 256
02-09-22; 178
01-09-22; 150
31-08-22; 133
30-08-22; 125
29-08-22; 264
28-08-22; 71
27-08-22; 47
26-08-22; 77
25-08-22; 149
24-08-22; 132
23-08-22; 54
22-08-22; 130
21-08-22; 123
